Question,Answers
"By what year had Temüjin created a significant ""Mongol"" tribal alliance?",1206; 1206; 1206
What is the term for a meeting of Mongol chiefs?,Khuruldai; Khuruldai; Khuruldai
What title was given to Genghis Khan posthumously?,Khagan; Khagan; Khagan
Who gave Genghis Khan the title Khadan?,Ögedei; Ögedei; Ögedei
Who made Temüjin khan of the Mongols?,a council of Mongol chiefs; a council of Mongol chiefs; a council of Mongol chiefs
What dynasty did Genghis Khan plan to attack after conquering Western Xia?,the Jin dynasty; Jin dynasty.; Jin dynasty
Who was the Jin dynasty defector who betrayed the location of the Jin army?,Ming-Tan; Ming-Tan; Ming-Tan
When did Genghis Khan capture the Jin dynasty capital?,1215; 1215; 1215
Where did the Jin emporer relocate his capital after Genghis Khan overran the norther part of his empire?,"Kaifeng; Kaifeng; Kaifeng,"
Which of Genghis Khan's sons completed the conquest of the Jin dynasty?,Ögedei Khan; Ögedei Khan; Ögedei Khan
Who took control of Qara Khitai after fleeing Temüjin's Mongol Empire?,Kuchlug; Kuchlug; Kuchlug
"What older dynasty was replaced by the Western Liao, or Qara Khitai?",the Liao dynasty; Liao; Liao dynasty
How many soldiers did Genghis Khan send against Kuchlug and Qara Khitai?,"20,000; 20,000; 20,000"
Which young general did Genghis Khan send to conquer Qara Khitai?,Jebe; Jebe; Jebe
What other moniker was Genghis Khan's general Jebe known by?,The Arrow; The Arrow; The Arrow
What strategy did Jebe's army use against Kuchlug and his supporters?,inciting internal revolt; inciting internal revolt; inciting internal revolt among Kuchlug's supporters
Where did Jebe's forces first defeat Kuchlug?,west of Kashgar; west of Kashgar; west of Kashgar
How far west did the Mongol Empire extend after Kuchlug's demise?,"Lake Balkhash; Lake Balkhash; Lake Balkhash,"
Which empire bordered the Mongol Empire to the west in 1218?,Khwarezmid Empire; Khwarezmid; Khwarezmid Empire
What kind of state was the Khwarezmia?,a Muslim state; Muslim; Muslim
Who was the leader of the Khwarezmian dynasty in the early 1200s?,Shah Ala ad-Din Muhammad; Shah Ala ad-Din Muhammad; Shah Ala ad-Din Muhammad
Who ordered the attack on the caravan of traders Genghis Khan send to Khwarezmia?,Inalchuq; Inalchuq; Inalchuq
Which of Genghis Khan's ambassadors did the Shah have beheaded?,the Muslim; Muslim; the Muslim
How many soldiers did Genghis Khan take with him to Khwarezmia?,"100,000; 100,000; 100,000 soldiers"
What trading route joined Khwarezmia and the Mongol Empire?,the Silk Road; Silk Road; Silk Road
What mountain range did Genghis Khan cross to enter the Khwarezmian Empire?,Tien Shan; Tien Shan; Tien Shan
How many divisions comprised Genghis Khan's army in Khwarezmia?,three; three; three groups
Where did Jebe's division of Genghis Khan's army campaign in Khwarezmia?,the southeast; southeast; the southeast part of Khwarzemia
Who led the third division in Khwarezmia alongside Genghis Khan himself?,Tolui; Tolui; Genghis Khan and Tolui
Which area of Khwarezmia did the first and second divisions of the Mongol army target in a pincer attack?,Samarkand; Samarkand; Samarkand
What feature of the Shah's army enable the weary Mongol forces easy early victories?,fragmentation; fragmentation; fragmentation
Which town's massacre did Genghis Khan order in retribution for the treatment of his envoys?,Otrar; Otrar; Otrar
What metal was used in Inalchuq's execution?,silver; silver; molten silver
What did the Shah do when faced with defeat by Genghis Khan's forces?,fled; fled; fled
Who did Genghis Khan charge with finding and punishing the Shah?,Subutai and Jebe; Subutai and Jebe; Subutai and Jebe
What was the capital of Khwarezmia before the Mongol invasion?,Samarkand; Samarkand; Samarkand
Where was the Khwarezmid capital moved after Genghis Khan's forces prevailed in Samarkand?,Bukhara; Bukhara; Bukhara
What does legend say Genghis Khan used to obliterate the Kharezmid emporer's place of birth?,a river; a river; a river
What did the Mongols shield themselves with while attacking Samarkand?,captured enemies; captured enemies; captured enemies
How did Genghis Khan observed the surrender terms after Samarkand fell?,reneged; reneged; executed every soldier
What victory symbols did the Mongols build on the plains outside Samarkand?,pyramids of severed heads; pyramids of severed heads; pyramids of severed heads
How did the leaders of the city of Bukhara respond to the Mongol attack?,opened the gates; opened the gates to the Mongols; opened the gates to the Mongols
Who continued to hold the citadel of Bukhara after the Mongols took the rest of the city?,a unit of Turkish defenders; a unit of Turkish defenders; Turkish defenders
Which residents of Bukhara were spared and sent back to Mongolia?,artisans and craftsmen; artisans and craftsmen; artisans and craftsmen
How did Genghis Khan describe himself to the people of Bukhara?,"the flail of God; the flail of God; the flail of God,"
Who among the population of Bukhara became part of the Mongolian army?,young men who had not fought; young men who had not fought; young men who had not fought
What year did the Khwarezmian Empire fall to Genghis Khan?,"1220; 1220; 1220,"
Whose plan called for the Mongolian army to split in two after the Khwarezmian conquest?,Subutai; Subutai; Subutai
Where did Jebe and Subutai spend the winter following the split of the Mongol army?,near the Black Sea; Black Sea; Russia
Where was the Kievian force that confronted Subutai's army defeated in 1223?,Kalka River; Kalka River; Kalka River
Who led the Kievian Rus' troops against Subutai's Mongol army?,Mstislav the Bold of Halych and Mstislav III of Kiev; Mstislav the Bold of Halych and Mstislav III of Kiev; Mstislav the Bold of Halych and Mstislav III of Kiev
Which Mongol leader completed the conquest of Kievan Rus'?,Batu; Batu; Genghis Khan's grandson Batu
By what name was the Mongol army that finally conquered Bulgaria known?,the Golden Horde; Golden Horde; the Golden Horde
Which two Mongol leaders added Persia to the Mongol Empire?,Subutai and Jebe; Subutai and Jebe; Subutai and Jebe
When did Subutai's army return to Mongolia?,1225; 1225; 1225
Where did Jebe die?,on the road back to Samarkand; on the road back to Samarkand; the road back to Samarkand
In which year did Genghis Khan strike against the Tanguts?,1226; 1226; 1226
What season was it when Genghis Khan took Xiliang-fu from the Tanguts?,autumn; autumn; autumn
Who won the battle near the Helan mountains?,the Mongols; Mongols; the Mongols
What river did Genghis Khan cross before defeating the main Tangut army?,the Yellow River; Yellow River; Yellow River
What omen was Genghis Khan reported to have seen assuring his coming victory against the Tanguts?,a line of five stars arranged in the sky; a line of five stars; a line of five stars arranged in the sky
What was the name of the Tangut capital?,Ning Hia; Ning Hia; Ning Hia
Who was the Tangut general who fought Genghis Khan at Deshun?,Ma Jianlong; Ma Jianlong; Ma Jianlong
What weapon caused the wounds that killed Tangut general Ma Jianlong?,arrows; arrows; arrows
Where did Genghis Khan spend the summer after taking Deshun?,Liupanshan; Liupanshan; Liupanshan
What did Genghis Khan do to the Tangut imperial family after their surrender?,executed; executed; executed
The paternity of which of Genghis Khan's sons was disputed?,Jochi; Jochi; Jochi
Which Mongol leader was most opposed to Jochi as Genghis Khan's successor?,Chagatai; Chagatai; Chagatai
Before which military campaign did Chagatai publicly dispute Jochi's paternity?,invasion of the Khwarezmid Empire; invasion of the Khwarezmid Empire; invasion of the Khwarezmid Empire
Who was appointed Genghis Khan's successor?,Ögedei; Ögedei; Ögedei
Which pair of Genghis Khan's sons were most rivalrous?,Chagatai and Jochi; Chagatai and Jochi; Chagatai and Jochi)
Which of Genghis Khan's sons was disqualified from being successor because of his unstable behavior?,Chagatai; Chagatai; Chagatai
Which's of Genghis Khan's successors could not be successor because of his age?,"Tolui; Tolui; Tolui,"
Which son did Genghis Khan view as his most dependable one?,Ögedei; Ögedei; Ögedei
Jochi's death occurred in what year?,1226; 1226; 1226
Where did Jochi remain after Genghis Khan sent for his sons in the spring of 1223?,Khorasan; Khorasan; Khorasan
Which territory did Jochi try to protect that may have led to a dispute with his brothers?,Urgench; Urgench; Urgench
Who did Jochi reportedly enlist to help him stop his father's massacres?,Sultan Muhammad; Sultan Muhammad; Sultan Muhammad
Why is Jochi's reported alliance with the Muslims historically suspect?,"Sultan Muhammad was already dead in 1223; Sultan Muhammad was already dead in 1223; Sultan Muhammad was already dead in 1223,"
Genghis Khan was in the process of taking what capital city when he died?,Yinchuan; Yinchuan; Yinchuan
What does the Secret History say Genghis Khan was doing when he sustained his mortal injuries?,hunting; hunting; hunting
What weapon did Marco Pole report as the cause of Genghis Khan's death?,arrow; arrow; arrow wound
Later chronicles of Genghis Khan's death implicate a princess from what empire in his death?,Western Xia; Western Xia; Western Xia
Which rival of the Mongols is suspected of inventing the story that Genghis Khan was murdered by a captured princess?,Oirads; Oirads; Oirads
What was Genghis Khan's tribes burial custom?,without markings; buried without markings; buried without markings
Where is Genghis Khan's presumed to have been delivered?,Khentii Aimag; Khentii Aimag; Khentii Aimag
What river is near Genghis Khan's likely place of burial?,Onon River; Onon; Onon River
What memorial was built years after Genghis Khan's death and burial?,The Genghis Khan Mausoleum; Genghis Khan Mausoleum; The Genghis Khan Mausoleum
What is the Mongolian name for the original place of the Genghis Khan mausoleum?,Edsen Khoroo; Edsen Khoroo; Edsen Khoroo
Which Buddhist monastery hosted the Genghis Khan mausoleum during the Japanese occupation?,Dongshan Dafo Dian; Dongshan Dafo Dian; the Dongshan Dafo Dian
Where did the Chinese Nationalists move the mausoleum away from advancing Chinese Communist forces?,Kumbum Monastery or Ta'er Shi near Xining; Kumbum Monastery; Tibetan monastery of Kumbum Monastery
When was the mausoleum returned to the Lord's Enclosure in Mongolia?,"1954; 1954; 1954,"
Who destroyed the most valuable relics in the mausoleum during the Cultural Revolution?,Red Guards; Red Guards; 1968
On which date was Genghis Khan's palace rediscovered by archeaologists?,"October 6, 2004; October 6, 2004; October 6, 2004"
What kind of water body is rumored to be obscuring Genghis Khan's burial site?,a river; river; river
What two other rulers had their graves hidden under a river?,Sumerian King Gilgamesh of Uruk and Atilla the Hun; King Gilgamesh of Uruk and Atilla the Hun; Gilgamesh of Uruk and Atilla the Hun
What animals may have been stampeded over Genghis Khan's grave site?,horses; horses; horses
Who created the code that governed military and civilian conduct in the Mongol Empire?,Genghis Khan; Genghis Khan; Genghis Khan
What was the name of the Mongol Empire's legal code?,Yassa; Yassa; Yassa
What was the guiding principle of the Mongol Empire code of conduct?,meritocracy; meritocracy; meritocracy
Who was exempt from the meritocratic principles of the Mongol Empire?,Genghis Khan and his family; Genghis Khan and his family; Genghis Khan and his family
Who is an example of the diversity of leadership in the Mongol Empire?,Muhammad Khan; Muhammad Khan; Muhammad Khan
"What perk did religious leaders, teachers, and doctors get in the Mongol Empire?",tax exemptions; tax exemptions; tax exemptions
Which of Genghis Khan's mentors practiced Christianity?,Ong Khan; Ong Khan; Ong Khan
How was religion handled in the Mongol Empire?,"a personal concept; tolerance; a personal concept, and not subject to law or interference"
What are examples of the various religions of Mongol tribes?,"Shamanist, Buddhist or Christian; Shamanist, Buddhist or Christian; Shamanist, Buddhist or Christian"
Which woman took a leadership role in the Mongol Empire while succession was being determined?,Töregene Khatun; Töregene Khatun; Töregene Khatun
What is the modern term for the Mongolian policies supporting trade and communication?,the Pax Mongolica (Mongol Peace); Pax Mongolica; Pax Mongolica (Mongol Peace)
Who is an example of a sedentary people who were not favored by the laws of the Mongol Empire?,the Chinese; Chinese; Chinese
What do some modern historians claim Genghis Khan sought to add his legal code at the end of his reign?,"legal equality of all individuals, including women; legal equality of all individuals; Great Yassa"
Which Khitan prince became an important administrator in the Mongol Empire?,"Chu'Tsai; Chu'Tsai; Chu'Tsai,"
Why would Mongols have too little experience to govern cities they conquered?,they were nomads; nomads; nomads and thus had no experience governing cities
Khitan had been overthrown by which dynasty that Genghis Khan later defeated?,Jin; Jin; Jin dynasty
Who were Chu'Tsai's forefathers?,"Khitan rulers; Khitan rulers; Khitan rulers,"
Who among Genghis Khan's subjects shared similar privileges to his close family members'?,"his generals; Muqali, Jebe and Subutai; his generals"
What was the capital of the Mongol Empire?,Karakorum; Karakorum; Karakorum
Who was delegated command of the Mongol forces against the Jin dynasty?,"Muqali; Muqali; Muqali,"
Which two generals raided the Caucasas and Kievan Rus' for Genghis Khan?,Subutai and Jebe; Subutai and Jebe; Subutai and Jebe
What did Genghis Khan expect from his generals alongside the autonomy he granted them?,unwavering loyalty; unwavering loyalty; unwavering loyalty
What would Mongol armies divert in order to cut off the resources of cities they were attacking?,rivers; rivers; rivers
What were the cultural origins of the engineers and technology adopted by the Mongol military?,Muslim and Chinese; Muslim and Chinese; Muslim and Chinese
How did Mongol armies lure enemy groups out of their defensive positions?,feigned retreat; feigned retreat; feigned retreat
How were enemy prisoners used tactically by Mongol armies?,driving them in front of the army; driving them in front of the army; driving them in front of the army
What sea bordered Genghis Khan's empire to the east when he died?,Sea of Japan; Sea of Japan; Caspian Sea to the Sea of Japan
What body of water sat to the west of the Mongol Empire when Genghis Khan died?,Caspian Sea; Caspian Sea; Caspian Sea to the Sea of Japan
Who led the most rapid expansion of the Mongol Empire?,Ögedei Khan; Ögedei Khan; Ögedei Khan
What year was the conflict with the Song dynasty concluded?,1279; 1279; 1279
To which trading route did Genghis Khan bring a stable political climate?,the Silk Road; Silk Road; Silk Road
In which Middle Eastern country is Genghis Khan's title a popular name for male children?,"Turkey; Turkey; Turkey,"
What was the Genghis Khan's characteristic approach to religious diversity?,tolerant; tolerant; tolerant of religions
What effect did Genghis Khan's career have on communication and trade across Asia?,increased; expanding the horizons; increased communication and trade
What recent decade saw brightening of the perception of Genghis Khan in Mongolia?,1990s; 1990s; 1990s
What is the key accomplishment of Genghis Khan that modern Mongolians celebrate?,uniting warring tribes; uniting warring tribes; uniting warring tribes
How do Mongolians sometime describe their relationship to Genghis Khan?,Genghis Khan's children; Genghis Khan's children; father of the Mongols
What do some Mongolians feel non-Mongolian historians exaggerate about Genghis Khan?,his brutality; butchery; his butchery
What is the general perception of non-Mongolian histories of Genghis Khan by Mongolians themselves?,unfairly biased; unfairly biased; his positive role is underrated
What is the name of contemporary Mongolian currency?,tögrög; tögrög; tögrög
Whose likeness is on the larger denominations of Mongolian currency?,Genghis Khan; Genghis Khan's
What is the name of Mongolia's largest airport?,Chinggis Khaan International Airport; Chinggis Khaan International Airport; Chinggis Khaan International Airport
Why have Mongolian politicians considered regulating the use of Genghis Khan's name?,to avoid trivialization; avoid trivialization; avoid trivialization.
What city is near a major statue of Genghis Khan?,Ulaanbaatar; Ulaanbaatar; Ulaanbaatar
What is the Mongolian name of the first Mongolian laws codified in writing?,Ikh Zasag; Ikh Zasag (; Ikh Zasag
What did Mongolian President Tsakhiagian Elbegdorj note was significantly punished by Genghis Khan's laws?,corruption and bribery; corruption and bribery; corruption and bribery
Which Mongolian president lauded Genghis Khan on the 850th anniversary of the conqueror's birth?,Tsakhiagiin Elbegdorj; Tsakhiagiin Elbegdorj; Elbegdorj
What innovation in Mongolian language is credited to Genghis Khan?,traditional Mongolian script; traditional Mongolian script; traditional Mongolian script
Where in China is Genghis Khan most favorably viewed today?,Inner Mongolia region; Inner Mongolia region; Inner Mongolia region
What is the population of the Inner Mongolia region of China?,5 million; around 5 million; around 5 million
Which descendant of Genghis Khan is remembered as having reunified China?,Kublai Khan; Kublai Khan; Kublai Khan
What Chinese dynasty did the Mongols found?,Yuan; Yuan; Yuan dynasty
What was Kublai Khan's relation to Genghis Khan?,grandson; grandson; grandson
Which Middle Eastern nation in particular views Genghis Khan as a contemptible perpetrator of genocide?,Iran; Iran; Iran
What proportion of the general population in the area than became Iran did Genghis Khan kill?,three-fourths; three-fourths; up to three-fourths of the population
How many people do historians estimate Genghis Khan killed in the Iranian Plateau?,10 to 15 million; 10 to 15 million people; 10 to 15 million people
Which descendant of Genghis Khan sacked Baghdad?,Hulagu Khan; Hulagu Khan; Hulagu Khan
Who halted the advance of Hulagu Khan across the Middle East?,the Mamluks of Egypt; Mamluks; the Mamluks of Egypt
Which of Genghis Khan's descendants pushed the Mamluks out of Palestine?,Ghazan Khan; Ghazan Khan; Ghazan Khan
In which year did Genghis Khan's grandson invade Kievan Rus'?,1237; 1237; 1237
Which major cities in Eastern Europe were not destroyed by the Mongol invasion?,Novgorod and Pskov; Novgorod and Pskov; Novgorod and Pskov
Which descendants of Genghis Khan tried to dissociate themselves from the Mongol massacres in the Middle East?,Mughal emperors; Mughal emperors; Mughal emperors
Which Mongol conqueror was most celebrated by the Mughal emperors?,Timur; Timur; Timur
"From where was the Muslim historical figure Attar, whose murder by the Mongols was long remembered?",Nishapur; Nishapur; Nishapur
Which Mongolian word meaning wide-spreading may have contributed to the appellation Genghis?,tenggis; tenggis; tenggis
Which massive lake did the Mongolians call tenggis?,Lake Baikal; Lake Baikal; Lake Baikal
What does zhèng mean?,"""right"", ""just"", or ""true""; right; right"", ""just"", or ""true"","
Jenggis is the adjectival form of what word?,Zhèng; Zhèng; Zhèng
What spelling of Genghis most closely matches its probable pronunciation?,"Chinggis; Chinggis; ""Jenggis"
What is the Mongolian spelling of Genghis Khan?,Chinggis Khaan; Chinggis Khaan; Chinggis Khaan; Chinggis Khaan
How is Genghis Khan spelled in Turkic?,"Cengiz Han; Cengiz Han; Cengiz Han; Cengiz Han, Çingiz Xan, Çingiz Han, Chingizxon, Çıñğız Xan, Chengez Khan, Chinggis Khan, Chinggis Xaan, Chingis Khan, Jenghis Khan, Chinggis Qan, Djingis Kahn"
How is Temüjin written in pinyin?,Tiěmùzhēn; Tiěmùzhēn; Tiěmùzhēn; Tiěmùzhēn
What are alternate English spelling of Genghis?,"Chinghiz, Chinghis, and Chingiz; Chinghiz, Chinghis, and Chingiz; Chinghiz, Chinghis, and Chingiz; Chinghiz, Chinghis, and Chingiz"
How is Genghis Khan written in pinyin?,"Chéngjísī Hán; Chéngjísī Hán; Chéngjísī Hán; Chéngjísī Hán,"
